ID,name,wormhole_navigation_skill,origin_planet_ID,spacesuit_color,createdBy
0f1a2b3c-4d5e-4f60-8a71-1234567890ab,Lyra Quill,85,11a1b1c1-d1e1-4f01-8a11-111111111111,red,Alice
1a2b3c4d-5e6f-4a80-9b12-2345678901bc,Orion Pax,92,22b2c2d2-e2f2-4f02-8b22-222222222222,blue,Bob
2b3c4d5e-6f7a-4b90-8c23-3456789012cd,Cassiopeia Vex,78,33c3d3e3-f3a3-4f03-8c33-333333333333,green,Charlie
3c4d5e6f-7a8b-4c01-9d34-4567890123de,Draco Nova,88,44d4e4f4-a4b4-4f04-8d44-444444444444,orange,Diana
4d5e6f7a-8b9c-4d12-8e45-5678901234ef,Andromeda Star,95,55e5f5a5-b5c5-4f05-8e55-555555555555,purple,Ethan
5e6f7a8b-9c0d-4e23-9f56-6789012345fa,Altair Blaze,80,11a1b1c1-d1e1-4f01-8a11-111111111111,yellow,Fiona
6f7a8b9c-0d1e-4f34-8a67-7890123456ab,Polaris Drift,90,22b2c2d2-e2f2-4f02-8b22-222222222222,white,George
7a8b9c0d-1e2f-4a45-9b78-8901234567bc,Sirius Flux,83,33c3d3e3-f3a3-4f03-8c33-333333333333,black,Hannah
8b9c0d1e-2f3a-4b56-8c89-9012345678cd,Vega Pulse,87,44d4e4f4-a4b4-4f04-8d44-444444444444,cyan,Ian
9c0d1e2f-3a4b-4c67-9d90-0123456789de,Altair Nova,91,55e5f5a5-b5c5-4f05-8e55-555555555555,magenta,Julia
